total_alerts,sum_failed_prob
12000,2455.7222707320275
13000,2664.039026390762
14000,2867.111685289521
2025-10-20 02:28:40.405320,1000
2025-10-20 02:34:50.682687,1000
2025-10-21 01:22:42.189036,1000
2025-10-21 01:27:55.956674,1000
2025-10-21 01:30:26.889511,1000
2025-10-21 01:31:20.545981,1000
2025-10-21 01:32:43.141765,1000
2025-10-21 01:32:55.283804,1000
2025-10-21 01:34:07.620064,1000
2025-10-21 01:34:35.976698,1000
2025-10-21 01:35:04.569708,1000
2025-10-21 01:37:14.647367,1000
2025-10-21 01:39:02.019011,1000
2025-10-21 01:42:13.013269,1000
2025-10-21 01:45:08.866357,1000
2025-10-21 01:46:38.930532,1000
2025-10-21 01:49:58.375609,1000
2025-10-21 01:58:44.071829,1000
2025-10-21 02:00:49.107490,1000
2025-10-21 02:01:54.170807,1000
2025-10-21 02:04:28.289296,1000
2025-10-21 02:04:33.354745,1000
2025-10-21 02:19:13.658355,1000
2025-10-21 02:19:20.709127,1000
2025-10-21 02:19:52.638485,1000
2025-10-21 02:25:21.533095,1000
2025-10-21 02:29:15.041002,1000
2025-10-21 02:29:57.832323,1000
2025-10-21 02:34:02.005930,1000
2025-10-21 02:36:53.322035,1000
2025-10-21 02:41:32.956809,1000
2025-10-21 02:41:58.709704,1000
2025-10-21 02:42:56.218340,1000
2025-10-21 02:45:40.972439,1000
2025-10-21 02:47:20.034698,1000
2025-10-21 02:47:49.580,1000
2025-10-21 02:47:57.173208,1000
2025-10-21 02:48:41.307173,1000
2025-10-21 02:53:11.587301,1000
2025-10-21 02:53:20.480437,1000
2025-10-21 02:55:29.153534,1000
2025-10-21 02:55:35.432507,1000
2025-10-21 02:56:19.494916,1000
2025-10-21 02:56:54.003651,1000
2025-10-21 02:57:44.547551,1000
2025-10-21 02:57:55.835452,1000
2025-10-21 02:59:23.072981,1000
2025-10-21 02:59:28.031558,1000
2025-10-21 02:59:54.681069,1000
2025-10-21 03:00:46.836237,1000
2025-10-21 03:00:55.619212,1000
2025-10-21 03:02:33.742852,1000
2025-10-21 03:02:41.869433,1000
2025-10-21 03:02:51.502641,1000
2025-10-21 03:03:28.965974,1000
2025-10-21 03:04:00.205190,1000
2025-10-21 03:04:38.602080,1000
2025-10-21 03:05:09.864699,1000
2025-10-21 03:14:02.107122,1000
2025-10-21 03:14:29.753724,1000
2025-10-21 03:15:20.321626,1000
2025-10-21 21:39:36.358270,1000
2025-10-21 21:40:34.596198,1000
2025-10-21 21:41:09.400565,1000
2025-10-21 21:43:49.690447,1000
2025-10-21 21:44:37.803889,1000
2025-10-21 21:45:08.198443,1000
2025-10-21 21:46:17.076929,1000
2025-10-21 21:46:18.426880,1000
2025-10-21 21:52:51.733292,1000
2025-10-21 21:53:34.304763,1000
2025-10-21 21:55:54.162016,1000
2025-10-21 21:59:38.446437,1000
